电影名称,别称,导演,主演,年代,地区,影片类型,评分,评价人数,简介
白日梦想家,/ 发梦王大历险(港)  /  白日梦冒险王(台),本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,本·斯蒂勒 Ben Stiller / 克里斯汀·...,,2013,剧情 喜剧 冒险,8.6,,
哈利·波特与死亡圣器(上),/ 哈利波特7：死神的圣物1(港 / 台),大卫·叶茨 David Yate,丹尼尔·雷德克里夫 Daniel Radcliffe...,,2010,奇幻 冒险,8.6,,
机器人之梦,/ 再见机器人(台)  /  汪汪梦里人(港),巴勃罗·贝格尔 Pablo Berger   主演: 伊万·拉班达 Ivan Labanda / 阿...,伊万·拉班达 Ivan Labanda / 阿...,,2023,剧情 动画 音乐,9.1,,
终结者2：审判日,/ 未来战士2(港)  /  魔鬼终结者2(台),詹姆斯·卡梅隆 Jame,阿诺·施瓦辛格 Arnold Schwarz...,,1991,动作 科幻,8.8,,
初恋这件小事,/ 初恋那件小事(港)  /  暗恋那点小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Prom,,,2010,剧情 喜剧 爱情,8.5,,
无耻混蛋,/ 希魔撞正杀人狂(港)  /  恶棍特工(台),昆汀·塔伦蒂诺 Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / ...,布拉德·皮特 Brad Pitt / ...,,2009,剧情 犯罪,8.7,,
雨人,/ 手足情未了(港)  /  手足情深,巴瑞·莱文森 Barry Levin,达斯汀·霍夫曼 Du,,1988,剧情,8.7,,
新龙门客栈,/ New Dragon Gate Inn,李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,,1992,动作 爱情 武侠 古装,8.7,,
人工智能,/ AI人工智慧,史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...,海利·乔·奥斯蒙 Haley...,,2001,剧情 科幻,8.7,,
虎口脱险,/ 横冲直撞出重围(港)  /  大進擊(台),杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Loui,路易·德·菲耐斯 Loui,,1966,喜剧 战争,8.9,,
崖上的波妞,/ 悬崖上的金鱼姬  /  悬崖上的金鱼公主,宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,,2008,动画 奇幻 冒险,8.6,,
大红灯笼高高挂,/ Raise The Red Lantern  /  Épouses et concubines,张艺谋 Yimou Zhang   主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,,1991,剧情,8.8,,
